framenum,source,blockw,blockh,srcx,srcy,dstx,dsty,flags
2,-1,16,16, 422,  44, 424,  40,0x0
2,-1,16,16, 439,  43, 440,  40,0x0
2,-1,16,16, 454,  43, 456,  40,0x0
2,-1,16,16, 470,  44, 472,  40,0x0
2,-1,16,16,   8,  61,   8,  56,0x0
2,-1,16,16,  22,  60,  24,  56,0x0
2,-1,16,16,  38,  58,  40,  56,0x0
2,-1,16,16,  56,  59,  56,  56,0x0
2,-1,16,16,  71,  60,  72,  56,0x0
2,-1,16,16,  87,  59,  88,  56,0x0
2,-1,16,16, 103,  59, 104,  56,0x0
2,-1,16,16, 119,  59, 120,  56,0x0
2,-1,16,16, 135,  59, 136,  56,0x0
2,-1,16,16, 151,  60, 152,  56,0x0
2,-1,16,16, 167,  59, 168,  56,0x0
2,-1,16,16, 183,  59, 184,  56,0x0
2,-1,16,16, 199,  58, 200,  56,0x0
2,-1,16,16, 215,  58, 216,  56,0x0
2,-1,16,16, 231,  58, 232,  56,0x0
2,-1,16,16, 263,  52, 264,  56,0x0
2,-1,16,16, 295,  58, 296,  56,0x0
2,-1,16,16, 311,  59, 312,  56,0x0
2,-1,16,16, 327,  62, 328,  56,0x0
2,-1,16,16, 342,  64, 344,  56,0x0
2,-1,16,16, 358,  63, 360,  56,0x0
2,-1,16,16, 374,  62, 376,  56,0x0
2,-1,16,16, 390,  61, 392,  56,0x0
2,-1,16,16, 407,  59, 408,  56,0x0
2,-1,16,16, 422,  60, 424,  56,0x0
2,-1,16,16, 439,  59, 440,  56,0x0
2,-1,16,16, 454,  60, 456,  56,0x0
2,-1,16,16, 470,  60, 472,  56,0x0
2,-1,16,16,   8,  73,   8,  72,0x0
2,-1,16,16,  23,  75,  24,  72,0x0
2,-1,16,16,  40,  76,  40,  72,0x0
2,-1,16,16,  55,  75,  56,  72,0x0
2,-1,16,16,  71,  76,  72,  72,0x0
2,-1,16,16,  87,  75,  88,  72,0x0
2,-1,16,16, 103,  75, 104,  72,0x0
2,-1,16,16, 119,  74, 120,  72,0x0
2,-1,16,16, 135,  75, 136,  72,0x0
2,-1,16,16, 151,  75, 152,  72,0x0
2,-1,16,16, 167,  74, 168,  72,0x0
2,-1,16,16, 183,  74, 184,  72,0x0
2,-1,16,16, 199,  75, 200,  72,0x0
2,-1,16,16, 215,  75, 216,  72,0x0
2,-1,16,16, 231,  75, 232,  72,0x0
2,-1,16,16, 263,  72, 264,  72,0x0
2,-1,16,16, 295,  72, 296,  72,0x0
2,-1,16,16, 311,  75, 312,  72,0x0
2,-1,16,16, 327,  75, 328,  72,0x0
2,-1,16,16, 343,  72, 344,  72,0x0
2,-1,16,16, 359,  73, 360,  72,0x0
2,-1,16,16, 375,  73, 376,  72,0x0
2,-1,16,16, 391,  74, 392,  72,0x0
2,-1,16,16, 406,  76, 408,  72,0x0
2,-1,16,16, 423,  75, 424,  72,0x0
2,-1,16,16, 438,  75, 440,  72,0x0
2,-1,16,16, 454,  75, 456,  72,0x0
2,-1,16,16, 470,  76, 472,  72,0x0
2,-1,16,16,   8,  91,   8,  88,0x0
2,-1,16,16,  22,  91,  24,  88,0x0
2,-1,16,16,  55,  91,  56,  88,0x0
2,-1,16,16,  71,  91,  72,  88,0x0
2,-1,16,16,  87,  91,  88,  88,0x0
2,-1,16,16, 103,  92, 104,  88,0x0
2,-1,16,16, 119,  91, 120,  88,0x0
2,-1,16,16, 135,  91, 136,  88,0x0
2,-1,16,16, 151,  90, 152,  88,0x0
2,-1,16,16, 167,  90, 168,  88,0x0
2,-1,16,16, 183,  90, 184,  88,0x0
2,-1,16,16, 199,  90, 200,  88,0x0
2,-1,16,16, 215,  91, 216,  88,0x0
2,-1,16,16, 263,  87, 264,  88,0x0
2,-1,16,16, 295,  88, 296,  88,0x0
2,-1,16,16, 311,  83, 312,  88,0x0
2,-1,16,16, 327,  90, 328,  88,0x0
2,-1,16,16, 343,  90, 344,  88,0x0
2,-1,16,16, 359,  88, 360,  88,0x0
2,-1,16,16, 375,  89, 376,  88,0x0
2,-1,16,16, 391,  89, 392,  88,0x0
2,-1,16,16, 407,  90, 408,  88,0x0
2,-1,16,16, 423,  92, 424,  88,0x0
2,-1,16,16, 438,  92, 440,  88,0x0
2,-1,16,16, 454,  92, 456,  88,0x0
2,-1,16,16, 470,  92, 472,  88,0x0
2,-1,16,16,   8, 112,   8, 104,0x0
2,-1,16,16,  24, 108,  24, 104,0x0
2,-1,16,16,  40, 108,  40, 104,0x0
2,-1,16,16,  55, 108,  56, 104,0x0
2,-1,16,16,  71, 107,  72, 104,0x0
2,-1,16,16,  87, 107,  88, 104,0x0
2,-1,16,16, 103, 108, 104, 104,0x0
2,-1,16,16, 119, 106, 120, 104,0x0
2,-1,16,16, 135, 107, 136, 104,0x0
2,-1,16,16, 151, 107, 152, 104,0x0
2,-1,16,16, 167, 107, 168, 104,0x0
2,-1,16,16, 183, 106, 184, 104,0x0
2,-1,16,16, 199, 105, 200, 104,0x0
2,-1,16,16, 215, 107, 216, 104,0x0
2,-1,16,16, 263, 104, 264, 104,0x0
2,-1,16,16, 295,  99, 296, 104,0x0
2,-1,16,16, 311, 107, 312, 104,0x0
2,-1,16,16, 327, 105, 328, 104,0x0
2,-1,16,16, 343, 107, 344, 104,0x0
2,-1,16,16, 359, 106, 360, 104,0x0
2,-1,16,16, 375, 105, 376, 104,0x0
2,-1,16,16, 391, 106, 392, 104,0x0
2,-1,16,16, 407, 105, 408, 104,0x0
2,-1,16,16, 439, 107, 440, 104,0x0
2,-1,16,16, 454, 108, 456, 104,0x0
2,-1,16,16, 471, 107, 472, 104,0x0
2,-1,16,16,   8, 126,   8, 120,0x0
2,-1,16,16,  24, 126,  24, 120,0x0
2,-1,16,16,  55, 123,  56, 120,0x0
2,-1,16,16,  71, 123,  72, 120,0x0
2,-1,16,16,  87, 123,  88, 120,0x0
2,-1,16,16, 103, 123, 104, 120,0x0
2,-1,16,16, 119, 123, 120, 120,0x0
2,-1,16,16, 135, 122, 136, 120,0x0
2,-1,16,16, 151, 123, 152, 120,0x0
2,-1,16,16, 167, 123, 168, 120,0x0
2,-1,16,16, 183, 123, 184, 120,0x0
2,-1,16,16, 199, 123, 200, 120,0x0
2,-1,16,16, 215, 123, 216, 120,0x0
2,-1,16,16, 263, 119, 264, 120,0x0
2,-1,16,16, 280, 118, 280, 120,0x0
2,-1,16,16, 311, 123, 312, 120,0x0
2,-1,16,16, 327, 123, 328, 120,0x0
2,-1,16,16, 343, 122, 344, 120,0x0
2,-1,16,16, 359, 122, 360, 120,0x0
2,-1,16,16, 376, 118, 376, 120,0x0
2,-1,16,16, 408, 119, 408, 120,0x0
2,-1,16,16, 440, 120, 440, 120,0x0
2,-1,16,16, 455, 123, 456, 120,0x0
2,-1,16,16, 470, 123, 472, 120,0x0
2,-1,16,16,   8, 136,   8, 136,0x0
2,-1,16,16,  21, 139,  24, 136,0x0
2,-1,16,16,  39, 138,  40, 136,0x0
2,-1,16,16,  55, 139,  56, 136,0x0
2,-1,16,16,  70, 139,  72, 136,0x0
2,-1,16,16,  87, 139,  88, 136,0x0
2,-1,16,16, 103, 139, 104, 136,0x0
2,-1,16,16, 119, 139, 120, 136,0x0
2,-1,16,16, 135, 138, 136, 136,0x0
2,-1,16,16, 151, 139, 152, 136,0x0
2,-1,16,16, 167, 139, 168, 136,0x0
2,-1,16,16, 183, 139, 184, 136,0x0
2,-1,16,16, 199, 138, 200, 136,0x0
2,-1,16,16, 215, 139, 216, 136,0x0
2,-1,16,16, 231, 137, 232, 136,0x0
2,-1,16,16, 263, 133, 264, 136,0x0
2,-1,16,16, 311, 139, 312, 136,0x0
2,-1,16,16, 327, 138, 328, 136,0x0
2,-1,16,16, 343, 139, 344, 136,0x0
2,-1,16,16, 359, 139, 360, 136,0x0
2,-1,16,16, 376, 134, 376, 136,0x0
2,-1,16,16, 392, 134, 392, 136,0x0
2,-1,16,16, 408, 136, 408, 136,0x0
2,-1,16,16, 423, 138, 424, 136,0x0
2,-1,16,16, 439, 138, 440, 136,0x0
2,-1,16,16, 471, 138, 472, 136,0x0
2,-1,16,16,   8, 156,   8, 152,0x0
2,-1,16,16,  24, 155,  24, 152,0x0
2,-1,16,16,  38, 156,  40, 152,0x0
2,-1,16,16,  55, 155,  56, 152,0x0
2,-1,16,16,  70, 155,  72, 152,0x0
2,-1,16,16,  87, 155,  88, 152,0x0
2,-1,16,16, 102, 155, 104, 152,0x0
2,-1,16,16, 119, 155, 120, 152,0x0
2,-1,16,16, 135, 155, 136, 152,0x0
2,-1,16,16, 151, 155, 152, 152,0x0
2,-1,16,16, 167, 154, 168, 152,0x0
2,-1,16,16, 183, 154, 184, 152,0x0
2,-1,16,16, 199, 153, 200, 152,0x0
2,-1,16,16, 215, 155, 216, 152,0x0
2,-1,16,16, 231, 154, 232, 152,0x0
2,-1,16,16, 311, 155, 312, 152,0x0
2,-1,16,16, 327, 155, 328, 152,0x0
2,-1,16,16, 343, 155, 344, 152,0x0
2,-1,16,16, 359, 155, 360, 152,0x0
2,-1,16,16, 375, 155, 376, 152,0x0
2,-1,16,16, 391, 155, 392, 152,0x0
2,-1,16,16, 408, 155, 408, 152,0x0
2,-1,16,16, 424, 152, 424, 152,0x0
2,-1,16,16, 440, 153, 440, 152,0x0
2,-1,16,16, 456, 152, 456, 152,0x0
2,-1,16,16, 471, 155, 472, 152,0x0
2,-1,16,16,   8, 169,   8, 168,0x0
2,-1,16,16,  22, 170,  24, 168,0x0
2,-1,16,16,  39, 170,  40, 168,0x0
2,-1,16,16,  55, 170,  56, 168,0x0
2,-1,16,16,  70, 171,  72, 168,0x0
2,-1,16,16,  87, 172,  88, 168,0x0
2,-1,16,16, 103, 172, 104, 168,0x0
2,-1,16,16, 119, 171, 120, 168,0x0
2,-1,16,16, 135, 171, 136, 168,0x0
2,-1,16,16, 151, 171, 152, 168,0x0
2,-1,16,16, 167, 171, 168, 168,0x0
2,-1,16,16, 183, 171, 184, 168,0x0
2,-1,16,16, 199, 170, 200, 168,0x0
2,-1,16,16, 215, 171, 216, 168,0x0
2,-1,16,16, 263, 166, 264, 168,0x0
2,-1,16,16, 311, 171, 312, 168,0x0
2,-1,16,16, 327, 171, 328, 168,0x0
2,-1,16,16, 343, 171, 344, 168,0x0
2,-1,16,16, 359, 171, 360, 168,0x0
2,-1,16,16, 375, 171, 376, 168,0x0
2,-1,16,16, 391, 171, 392, 168,0x0
2,-1,16,16, 407, 172, 408, 168,0x0
2,-1,16,16, 423, 171, 424, 168,0x0
2,-1,16,16, 439, 172, 440, 168,0x0
2,-1,16,16, 454, 172, 456, 168,0x0
2,-1,16,16, 470, 172, 472, 168,0x0
2,-1,16,16,   8, 189,   8, 184,0x0
2,-1,16,16,  22, 188,  24, 184,0x0
2,-1,16,16,  38, 187,  40, 184,0x0
2,-1,16,16,  55, 186,  56, 184,0x0
2,-1,16,16,  71, 187,  72, 184,0x0
2,-1,16,16,  87, 186,  88, 184,0x0
2,-1,16,16, 103, 187, 104, 184,0x0
2,-1,16,16, 119, 186, 120, 184,0x0
2,-1,16,16, 135, 186, 136, 184,0x0
2,-1,16,16, 151, 186, 152, 184,0x0
2,-1,16,16, 167, 187, 168, 184,0x0
2,-1,16,16, 183, 187, 184, 184,0x0
2,-1,16,16, 199, 187, 200, 184,0x0
2,-1,16,16, 215, 187, 216, 184,0x0
2,-1,16,16, 263, 184, 264, 184,0x0
2,-1,16,16, 311, 184, 312, 184,0x0
2,-1,16,16, 327, 187, 328, 184,0x0
2,-1,16,16, 343, 186, 344, 184,0x0
2,-1,16,16, 359, 186, 360, 184,0x0
2,-1,16,16, 375, 187, 376, 184,0x0
2,-1,16,16, 391, 187, 392, 184,0x0
2,-1,16,16, 408, 184, 408, 184,0x0
2,-1,16,16, 424, 184, 424, 184,0x0
2,-1,16,16, 440, 184, 440, 184,0x0
2,-1,16,16, 456, 185, 456, 184,0x0
2,-1,16,16, 470, 186, 472, 184,0x0
2,-1,16,16,   8, 203,   8, 200,0x0
2,-1,16,16,  22, 203,  24, 200,0x0
2,-1,16,16,  38, 204,  40, 200,0x0
2,-1,16,16,  55, 204,  56, 200,0x0
2,-1,16,16,  71, 204,  72, 200,0x0
2,-1,16,16,  87, 203,  88, 200,0x0
2,-1,16,16, 103, 203, 104, 200,0x0
2,-1,16,16, 119, 203, 120, 200,0x0
2,-1,16,16, 135, 203, 136, 200,0x0
2,-1,16,16, 151, 203, 152, 200,0x0
2,-1,16,16, 167, 202, 168, 200,0x0
2,-1,16,16, 183, 202, 184, 200,0x0
2,-1,16,16, 199, 201, 200, 200,0x0
2,-1,16,16, 215, 202, 216, 200,0x0
2,-1,16,16, 263, 197, 264, 200,0x0
2,-1,16,16, 311, 198, 312, 200,0x0
2,-1,16,16, 327, 202, 328, 200,0x0
2,-1,16,16, 343, 203, 344, 200,0x0
2,-1,16,16, 360, 199, 360, 200,0x0
2,-1,16,16, 376, 200, 376, 200,0x0
2,-1,16,16, 391, 203, 392, 200,0x0
2,-1,16,16, 408, 200, 408, 200,0x0
2,-1,16,16, 424, 201, 424, 200,0x0
2,-1,16,16, 440, 200, 440, 200,0x0
2,-1,16,16, 456, 200, 456, 200,0x0
2,-1,16,16, 472, 202, 472, 200,0x0
2,-1,16,16,   8, 231,   8, 216,0x0
2,-1,16,16,  27, 225,  24, 216,0x0
2,-1,16,16,  38, 220,  40, 216,0x0
2,-1,16,16,  55, 218,  56, 216,0x0
2,-1,16,16,  70, 219,  72, 216,0x0
2,-1,16,16,  88, 220,  88, 216,0x0
2,-1,16,16, 103, 220, 104, 216,0x0
2,-1,16,16, 119, 220, 120, 216,0x0
2,-1,16,16, 135, 220, 136, 216,0x0
2,-1,16,16, 151, 219, 152, 216,0x0
2,-1,16,16, 167, 219, 168, 216,0x0
2,-1,16,16, 183, 219, 184, 216,0x0
2,-1,16,16, 199, 219, 200, 216,0x0
2,-1,16,16, 215, 219, 216, 216,0x0
2,-1,16,16, 263, 218, 264, 216,0x0
2,-1,16,16, 311, 219, 312, 216,0x0
2,-1,16,16, 327, 219, 328, 216,0x0
2,-1,16,16, 343, 218, 344, 216,0x0
2,-1,16,16, 359, 218, 360, 216,0x0
2,-1,16,16, 375, 219, 376, 216,0x0
2,-1,16,16, 391, 219, 392, 216,0x0
2,-1,16,16, 408, 216, 408, 216,0x0
2,-1,16,16, 424, 217, 424, 216,0x0
2,-1,16,16, 440, 216, 440, 216,0x0
2,-1,16,16, 454, 220, 456, 216,0x0
2,-1,16,16, 470, 220, 472, 216,0x0
2,-1,16,16,   8, 232,   8, 232,0x0
2,-1,16,16,  87, 235,  88, 232,0x0
2,-1,16,16, 103, 234, 104, 232,0x0
2,-1,16,16, 119, 235, 120, 232,0x0
2,-1,16,16, 135, 235, 136, 232,0x0
2,-1,16,16, 151, 235, 152, 232,0x0
2,-1,16,16, 167, 235, 168, 232,0x0
2,-1,16,16, 183, 235, 184, 232,0x0
2,-1,16,16, 199, 235, 200, 232,0x0
2,-1,16,16, 215, 235, 216, 232,0x0
2,-1,16,16, 263, 234, 264, 232,0x0
2,-1,16,16, 311, 233, 312, 232,0x0
2,-1,16,16, 327, 234, 328, 232,0x0
2,-1,16,16, 343, 234, 344, 232,0x0
2,-1,16,16, 359, 234, 360, 232,0x0
2,-1,16,16, 375, 234, 376, 232,0x0
2,-1,16,16, 391, 234, 392, 232,0x0
2,-1,16,16, 407, 235, 408, 232,0x0
2,-1,16,16, 423, 234, 424, 232,0x0
2,-1,16,16, 439, 234, 440, 232,0x0
2,-1,16,16, 455, 235, 456, 232,0x0
2,-1,16,16, 471, 236, 472, 232,0x0
2,-1,16,16,   8, 248,   8, 248,0x0
2,-1,16,16,  74, 253,  56, 248,0x0
2,-1,16,16, 102, 250, 104, 248,0x0
2,-1,16,16, 118, 251, 120, 248,0x0
2,-1,16,16, 135, 249, 136, 248,0x0
2,-1,16,16, 167, 251, 168, 248,0x0
2,-1,16,16, 183, 251, 184, 248,0x0
2,-1,16,16, 199, 250, 200, 248,0x0
2,-1,16,16, 215, 251, 216, 248,0x0
2,-1,16,16, 230, 249, 232, 248,0x0
2,-1,16,16, 248, 252, 248, 248,0x0
2,-1,16,16, 263, 251, 264, 248,0x0
2,-1,16,16, 311, 251, 312, 248,0x0
2,-1,16,16, 327, 251, 328, 248,0x0
2,-1,16,16, 343, 251, 344, 248,0x0
2,-1,16,16, 359, 251, 360, 248,0x0
2,-1,16,16, 375, 251, 376, 248,0x0
2,-1,16,16, 391, 251, 392, 248,0x0
2,-1,16,16, 407, 250, 408, 248,0x0
2,-1,16,16, 423, 251, 424, 248,0x0
2,-1,16,16, 439, 251, 440, 248,0x0
2,-1,16,16, 455, 250, 456, 248,0x0
2,-1,16,16, 471, 251, 472, 248,0x0
2,-1,16,16,   8, 264,   8, 264,0x0
2,-1,16,16,  62, 263,  40, 264,0x0
2,-1,16,16,  78, 263,  56, 264,0x0
2,-1,16,16, 117, 264, 120, 264,0x0
2,-1,16,16, 133, 264, 136, 264,0x0
2,-1,16,16, 166, 265, 168, 264,0x0
2,-1,16,16, 182, 265, 184, 264,0x0
2,-1,16,16, 198, 265, 200, 264,0x0
2,-1,16,16, 215, 267, 216, 264,0x0
2,-1,16,16, 232, 266, 232, 264,0x0
2,-1,16,16, 248, 266, 248, 264,0x0
2,-1,16,16, 263, 267, 264, 264,0x0
2,-1,16,16, 311, 266, 312, 264,0x0
2,-1,16,16, 327, 267, 328, 264,0x0
2,-1,16,16, 343, 267, 344, 264,0x0
2,-1,16,16, 358, 269, 360, 264,0x0
2,-1,16,16, 374, 269, 376, 264,0x0
2,-1,16,16, 391, 268, 392, 264,0x0
2,-1,16,16, 406, 269, 408, 264,0x0
2,-1,16,16, 423, 268, 424, 264,0x0
2,-1,16,16, 438, 268, 440, 264,0x0
2,-1,16,16, 456, 267, 456, 264,0x0
2,-1,16,16, 472, 268, 472, 264,0x0
2,-1,16,16,   8, 280,   8, 280,0x0
2,-1,16,16,  62, 279,  40, 280,0x0
2,-1,16,16, 118, 282, 120, 280,0x0
2,-1,16,16, 135, 285, 136, 280,0x0
2,-1,16,16, 152, 284, 152, 280,0x0
2,-1,16,16, 165, 281, 168, 280,0x0
2,-1,16,16, 183, 282, 184, 280,0x0
2,-1,16,16, 199, 283, 200, 280,0x0
2,-1,16,16, 215, 283, 216, 280,0x0
2,-1,16,16, 263, 283, 264, 280,0x0
2,-1,16,16, 311, 280, 312, 280,0x0
2,-1,16,16, 327, 282, 328, 280,0x0
2,-1,16,16, 343, 282, 344, 280,0x0
2,-1,16,16, 359, 285, 360, 280,0x0
2,-1,16,16, 375, 284, 376, 280,0x0
2,-1,16,16, 390, 285, 392, 280,0x0
2,-1,16,16, 406, 284, 408, 280,0x0
2,-1,16,16, 423, 284, 424, 280,0x0
2,-1,16,16, 440, 283, 440, 280,0x0
2,-1,16,16, 456, 284, 456, 280,0x0
2,-1,16,16,   8, 296,   8, 296,0x0
2,-1,16,16, 133, 297, 136, 296,0x0
2,-1,16,16, 150, 297, 152, 296,0x0
2,-1,16,16, 183, 298, 184, 296,0x0
2,-1,16,16, 199, 299, 200, 296,0x0
2,-1,16,16, 215, 299, 216, 296,0x0
2,-1,16,16, 263, 295, 264, 296,0x0
2,-1,16,16, 277, 293, 280, 296,0x0
2,-1,16,16, 311, 296, 312, 296,0x0
2,-1,16,16, 327, 298, 328, 296,0x0
2,-1,16,16, 344, 295, 344, 296,0x0
2,-1,16,16, 359, 300, 360, 296,0x0
2,-1,16,16, 374, 302, 376, 296,0x0
2,-1,16,16, 389, 303, 392, 296,0x0
2,-1,16,16, 405, 303, 408, 296,0x0
2,-1,16,16, 421, 308, 424, 296,0x0
2,-1,16,16, 437, 308, 440, 296,0x0
2,-1,16,16, 455, 299, 456, 296,0x0
2,-1,16,16, 472, 296, 472, 296,0x0
2,-1,16,16,   8, 312,   8, 312,0x0
2,-1,16,16,  24, 314,  24, 312,0x0
2,-1,16,16, 126, 324, 104, 312,0x0
2,-1,16,16, 133, 312, 136, 312,0x0
2,-1,16,16, 148, 311, 152, 312,0x0
2,-1,16,16, 164, 310, 168, 312,0x0
2,-1,16,16, 180, 309, 184, 312,0x0
2,-1,16,16, 199, 315, 200, 312,0x0
2,-1,16,16, 215, 313, 216, 312,0x0
2,-1,16,16, 263, 309, 264, 312,0x0
2,-1,16,16, 311, 312, 312, 312,0x0
2,-1,16,16, 327, 315, 328, 312,0x0
2,-1,16,16, 343, 315, 344, 312,0x0
2,-1,16,16, 360, 312, 360, 312,0x0
2,-1,16,16, 376, 313, 376, 312,0x0
2,-1,16,16, 392, 313, 392, 312,0x0
2,-1,16,16, 456, 312, 456, 312,0x0
2,-1,16,16, 471, 312, 472, 312,0x0
2,-1,16,16,   8, 336,   8, 328,0x0
2,-1,16,16,  24, 335,  24, 328,0x0
2,-1,16,16,  35, 326,  40, 328,0x0
2,-1,16,16,  79, 313,  56, 328,0x0
2,-1,16,16, 113, 336,  88, 328,0x0
2,-1,16,16, 149, 328, 152, 328,0x0
2,-1,16,16, 165, 328, 168, 328,0x0
2,-1,16,16, 199, 330, 200, 328,0x0
2,-1,16,16, 215, 331, 216, 328,0x0
2,-1,16,16, 264, 325, 264, 328,0x0
2,-1,16,16, 279, 326, 280, 328,0x0
2,-1,16,16, 311, 331, 312, 328,0x0
2,-1,16,16, 327, 331, 328, 328,0x0
2,-1,16,16, 344, 328, 344, 328,0x0
2,-1,16,16, 360, 328, 360, 328,0x0
2,-1,16,16, 376, 329, 376, 328,0x0
2,-1,16,16, 392, 329, 392, 328,0x0
2,-1,16,16, 472, 329, 472, 328,0x0
2,-1,16,16,   8, 344,   8, 344,0x0
2,-1,16,16,  40, 351,  40, 344,0x0
2,-1,16,16,  56, 347,  56, 344,0x0
2,-1,16,16,  84, 350,  72, 344,0x0
2,-1,16,16, 148, 344, 152, 344,0x0
2,-1,16,16, 164, 343, 168, 344,0x0
2,-1,16,16, 180, 342, 184, 344,0x0
2,-1,16,16, 199, 347, 200, 344,0x0
2,-1,16,16, 215, 347, 216, 344,0x0
2,-1,16,16, 232, 344, 232, 344,0x0
2,-1,16,16, 263, 345, 264, 344,0x0
2,-1,16,16, 310, 344, 312, 344,0x0
2,-1,16,16, 327, 347, 328, 344,0x0
2,-1,16,16, 343, 347, 344, 344,0x0
2,-1,16,16, 359, 347, 360, 344,0x0
2,-1,16,16, 375, 347, 376, 344,0x0
2,-1,16,16, 391, 352, 392, 344,0x0
2,-1,16,16, 457, 344, 456, 344,0x0
2,-1,16,16, 473, 344, 472, 344,0x0
2,-1,16,16,  21, 361,  24, 360,0x0
2,-1,16,16,  40, 360,  40, 360,0x0
2,-1,16,16,  56, 360,  56, 360,0x0
2,-1,16,16,  64, 357,  72, 360,0x0
2,-1,16,16,  64, 354,  88, 360,0x0
2,-1,16,16, 104, 360, 104, 360,0x0
2,-1,16,16, 120, 360, 120, 360,0x0
2,-1,16,16, 120, 360, 136, 360,0x0
2,-1,16,16, 152, 360, 152, 360,0x0
2,-1,16,16, 164, 360, 168, 360,0x0
2,-1,16,16, 180, 358, 184, 360,0x0
2,-1,16,16, 199, 360, 200, 360,0x0
3,-1,16,16,   8,   8,   8,   8,0x0
3,-1,16,16,  23,   8,  24,   8,0x0
3,-1,16,16,  40,   8,  40,   8,0x0
3,-1,16,16,  56,   8,  56,   8,0x0
3,-1,16,16,  72,   8,  72,   8,0x0
3,-1,16,16,  88,   8,  88,   8,0x0
3,-1,16,16, 104,   8, 104,   8,0x0
3,-1,16,16, 120,   8, 120,   8,0x0
3,-1,16,16, 136,   8, 136,   8,0x0
3,-1,16,16, 152,   8, 152,   8,0x0
3,-1,16,16, 168,   8, 168,   8,0x0
