framenum,source,blockw,blockh,srcx,srcy,dstx,dsty,flags
2,-1,16,16,   8,   8,   8,   8,0x0
2,-1,16,16,  22,   8,  24,   8,0x0
2,-1,16,16,  38,   8,  40,   8,0x0
2,-1,16,16,  54,   8,  56,   8,0x0
2,-1,16,16,  72,   8,  72,   8,0x0
2,-1,16,16,  88,   8,  88,   8,0x0
2,-1,16,16, 104,   8, 104,   8,0x0
2,-1,16,16, 120,   8, 120,   8,0x0
2,-1,16,16, 136,   8, 136,   8,0x0
2,-1,16,16, 151,   8, 152,   8,0x0
2,-1,16,16, 168,   8, 168,   8,0x0
2,-1,16,16, 184,   8, 184,   8,0x0
2,-1,16,16,   7,  24,   8,  24,0x0
2,-1,16,16,  24,  24,  24,  24,0x0
2,-1,16,16,  39,  24,  40,  24,0x0
2,-1,16,16,  56,  24,  56,  24,0x0
2,-1,16,16,  72,  24,  72,  24,0x0
2,-1,16,16,  88,  24,  88,  24,0x0
2,-1,16,16, 104,  24, 104,  24,0x0
2,-1,16,16, 120,  24, 120,  24,0x0
2,-1,16,16, 136,  24, 136,  24,0x0
2,-1,16,16, 152,  24, 152,  24,0x0
2,-1,16,16, 168,  24, 168,  24,0x0
2,-1,16,16, 184,  24, 184,  24,0x0
2,-1,16,16,   8,  40,   8,  40,0x0
2,-1,16,16,  24,  40,  24,  40,0x0
2,-1,16,16,  40,  40,  40,  40,0x0
2,-1,16,16,  56,  40,  56,  40,0x0
2,-1,16,16,  72,  40,  72,  40,0x0
2,-1,16,16,  88,  40,  88,  40,0x0
2,-1,16,16, 104,  40, 104,  40,0x0
2,-1,16,16, 120,  40, 120,  40,0x0
2,-1,16,16, 136,  40, 136,  40,0x0
2,-1,16,16, 152,  40, 152,  40,0x0
2,-1,16,16, 164,  40, 168,  40,0x0
2,-1,16,16, 186,  40, 184,  40,0x0
2,-1,16,16,   8,  56,   8,  56,0x0
2,-1,16,16,  24,  56,  24,  56,0x0
2,-1,16,16,  40,  56,  40,  56,0x0
2,-1,16,16,  56,  56,  56,  56,0x0
2,-1,16,16,  88,  56,  88,  56,0x0
2,-1,16,16,   8,  72,   8,  72,0x0
2,-1,16,16,  24,  72,  24,  72,0x0
2,-1,16,16,  40,  72,  40,  72,0x0
